ID,Nombre,X,Y,Carga,Diametro,Instalacion
1,ACANTILADO,-99.1427388889,19.5192,0.3,48,2017
2,VENUS,-99.1561611111,19.5030611111,0.23,48,2017
3,LA ESCALERA,-99.1317861111,19.5030166667,0.3,48,2017
4,TICOMAN,-99.1247861111,19.4987111111,0.315,48,2017
5,CALLE 325,-99.0836888889,19.4967361111,0.4,20,2017
6,TALISMAN,-99.1106138889,19.4752833333,0.34,48,2017
7,GRAN CANAL,-99.0979722222,19.459075,0.22,48,2017
8,MISTERIOS,-99.1208444444,19.4798277778,0.395,48,2017
9,ARAGON,-99.0625138889,19.4674,0.368,12,2017
10,XOCHINAHUAC,-99.1904861111,19.5056416667,0.185,12,2017
11,CUITLAHUAC,-99.1590361111,19.4740138889,0.3,48,2017
12,AHUIZOTLA,-99.2130361111,19.4642277778,0.28,48,2017
13,ING. MILITARES,-99.2153638889,19.4565527778,0.38,48,2017
14,TACUBA,-99.1798916667,19.4559222222,0.39,36,2017
