ID,Nombre,X,Y,Carga,Diametro,Instalacion,Ubicacion,SensorMaterial,SensorUbicacion,FuenteTipo1,FuenteNombre1,FuenteUbicacion1,FuenteTipo2,FuenteNombre2,FuenteUbicacion2
1,ACANTILADO,-99.1427388889,19.5192,0.3,48,2017,Av. Acueducto de Gpe. y Río San Javier Colonia Acueducto de Guadalupe Alcaldía Gustavo A. Madero C.P.  07700,Acero,s/d,Tanque,Tanque Chalmita,Calle Tlacaelel 1 Colonia Loma de la Palma  Alcaldía Gustavo A. Madero,,,
2,VENUS,-99.1561611111,19.5030611111,0.23,48,2017,Colonia Loma de la Palma Alcaldía Gustavo A. Madero C.P. 07160,Acero,Lomo del tubo,Tanque,Tanque Chalmita,Calle Tlacaelel 1 Colonia Loma de la Palma  Alcaldía Gustavo A. Madero,,,
3,LA ESCALERA,-99.1317861111,19.5030166667,0.3,48,2017,Av. J. de Dios Bátiz entre M Bernard y Av. IPN Colonia Lindavista Norte  Alcaldía Gustavo A. Madero ,Acero,Lomo del tubo,Tanque,Tanque Chalmita,Calle Tlacaelel 1 Colonia Loma de la Palma  Alcaldía Gustavo A. Madero,,,
4,TICOMAN,-99.1247861111,19.4987111111,0.315,48,2017,Calzada Ticomán esq. Cien Fuegos Colonia Lindavista Norte Alcaldía Gustavo A. Madero,Acero,Lomo del tubo,Tanque,Tanque Chalmita,Calle Tlacaelel 1 Colonia Loma de la Palma  Alcaldía Gustavo A. Madero,,,
5,CALLE 325,-99.0836888889,19.4967361111,0.4,20,2017,Calle 325 y Calle 331 Colonia Nueva Atzacoalco Alcaldía Gustavo A. Madero,Acero,Eje del tubo,Tanque,Tanque Santa Isabel,Av. Chiconautla y Privada Veracruz Colonia Santa Isabel Tola Alcaldía Gustavo A. Madero,,,
6,TALISMAN,-99.1106138889,19.4752833333,0.34,48,2017,Calle FF CC Hidalgo y Av. Talismán Colonia Tres Estrellas Alcaldía Gustavo A. Madero,Concreto,Lomo del tubo,Tanque,Tanque Santa Isabel,Av. Chiconautla y Privada Veracruz Colonia Santa Isabel Tola Alcaldía Gustavo A. Madero,,,
7,GRAN CANAL,-99.0979722222,19.459075,0.22,48,2017,Av. Eje 3 Norte y Av. 503 1° Secc. U.Hab. San Juan de Aragón Alcaldía Gustavo A. Madero,Concreto,Lomo del tubo,Tanque,Tanque Santa Isabel,Av. Chiconautla y Privada Veracruz Colonia Santa Isabel Tola Alcaldía Gustavo A. Madero,,,
8,MISTERIOS,-99.1208444444,19.4798277778,0.395,48,2017,Av. Misterios y Calle Fortuna Colonia Industrial Alcaldía Gustavo A. Madero,Acero,Lomo del tubo,Tanque,Tanque Chalmita,Calle Tlacaelel 1 Colonia Loma de la Palma  Alcaldía Gustavo A. Madero,,,
9,ARAGON,-99.0625138889,19.4674,0.368,12,2017,Calle 1537 y Francisco Morazán Colonia Villa de Aragón Alcaldía Gustavo A. Madero,Fierro Fundido,Lomo del tubo,Tanque,Tanque Santa Isabel,Av. Chiconautla y Privada Veracruz Colonia Santa Isabel Tola Alcaldía Gustavo A. Madero,,,
10,XOCHINAHUAC,-99.1904861111,19.5056416667,0.185,12,2017,Eje 5 Norte y FF CC Nacionales de México Unid Hab. Ecológica Novedades  Alcaldía Azcapotzalco,Acero,Lomo del tubo,Tanque,Tanques Aero Club,Campo Militar N° 1 Calzada San Esteban y Puerta N° 7 Colonia Residencia Militar Estado de México,,,
