ID,MinPresion,MaxPresion
1,1.800,5.300
2,1.730,5.230
3,1.800,5.300
4,1.815,5.315
5,1.900,5.400
6,1.840,5.340
7,1.720,5.220
8,1.895,5.395
9,1.868,5.368
10,1.685,5.185
11,1.800,5.300
12,1.780,5.280
13,1.880,5.380
14,1.890,5.390
15,1.811,5.311
16,1.840,5.340
17,1.730,5.230
18,1.720,5.220
19,2.028,5.528
20,1.710,5.210
21,1.850,5.350
22,1.726,5.226
23,1.730,5.230
24,1.730,5.230
25,1.809,5.309
26,1.909,5.409
27,1.960,5.460
28,1.760,5.260
29,1.810,5.310
30,1.820,5.320
31,1.790,5.290
32,1.800,5.300
33,1.810,5.310
34,1.740,5.240
35,1.781,5.281
36,1.852,5.352
37,1.812,5.312
38,1.734,5.234
39,1.767,5.267
40,1.785,5.285
41,1.912,5.412
42,1.710,5.210
43,1.790,5.290
44,1.800,5.300
45,1.790,5.290
46,1.800,5.300
47,1.831,5.331
48,1.810,5.310
49,1.833,5.333
50,1.715,5.215
51,1.770,5.270
52,1.721,5.221
53,1.780,5.280
54,1.750,5.250
55,1.782,5.282
56,1.842,5.342
57,1.767,5.267
58,1.500,5.000
59,1.915,5.415
60,1.830,5.330
61,1.880,5.380
62,1.710,5.210
63,1.770,5.270
64,1.825,5.325
65,1.770,5.270
66,1.807,5.307
67,1.900,5.400
68,1.875,5.375
69,1.815,5.315
70,1.770,5.270
71,1.820,5.320
72,1.780,5.280
73,1.725,5.225
74,1.695,5.195
75,1.765,5.265
76,1.885,5.385
77,1.765,5.265
78,1.800,5.300
79,1.850,5.350
80,1.540,5.040
81,1.540,5.040
82,1.540,5.040
83,1.540,5.040
84,1.540,5.040
85,1.540,5.040
86,1.540,5.040
87,1.540,5.040
88,1.540,5.040
89,1.540,5.040
90,1.540,5.040
91,1.545,5.045
92,1.540,5.040
93,1.540,5.040
94,1.540,5.040
95,1.540,5.040
96,1.540,5.040
97,1.540,5.040
