Estacion,Mes inicio,Mes final,Hora inicio,Hora final,Min1,Max1,Min2,Max2,Min3,Max3,Min4,Max4
1,1,12,0,4,0.3,5.3,5.30000001,99,0.3,0.3,0,0.29999999
1,1,12,4,7,0.43,5.3,5.30000001,99,0.3,0.42999999,0,0.29999999
1,1,12,7,8,2.18,5.3,5.30000001,99,0.3,2.17999999,0,0.29999999
1,1,12,8,9,2,5.3,5.30000001,99,0.3,1.99999999,0,0.29999999
1,1,12,9,11,0.4,5.3,5.30000001,99,0.3,0.39999999,0,0.29999999
1,1,12,11,12,0.3,5.3,5.30000001,99,0.3,0.3,0,0.29999999
1,1,12,12,24,0.3,5.3,5.30000001,99,0.3,0.3,0,0.29999999
2,1,12,0,4,0.23,5.23,5.23000001,99,0.23,0.23,0,0.22999999
2,1,12,4,7,0.27,5.23,5.23000001,99,0.23,0.26999999,0,0.22999999
2,1,12,7,8,1.2,5.23,5.23000001,99,0.23,1.19999999,0,0.22999999
2,1,12,8,9,1.26,5.23,5.23000001,99,0.23,1.25999999,0,0.22999999
2,1,12,9,12,0.44,5.23,5.23000001,99,0.23,0.43999999,0,0.22999999
2,1,12,12,16,0.23,5.23,5.23000001,99,0.23,0.23,0,0.22999999
2,1,12,16,24,0.23,5.23,5.23000001,99,0.23,0.23,0,0.22999999
3,1,12,0,4,0.3,5.3,5.30000001,99,0.3,0.3,0,0.29999999
3,1,12,4,7,0.33,5.3,5.30000001,99,0.3,0.32999999,0,0.29999999
3,1,12,7,8,1.26,5.3,5.30000001,99,0.3,1.25999999,0,0.29999999
3,1,12,8,9,1.28,5.3,5.30000001,99,0.3,1.27999999,0,0.29999999
3,1,12,9,12,0.4,5.3,5.30000001,99,0.3,0.39999999,0,0.29999999
3,1,12,12,14,0.3,5.3,5.30000001,99,0.3,0.3,0,0.29999999
3,1,12,14,24,0.3,5.3,5.30000001,99,0.3,0.3,0,0.29999999
4,1,12,0,4,0.315,5.315,5.31500001,99,0.315,0.315,0,0.31499999
4,1,12,4,7,0.51,5.315,5.31500001,99,0.315,0.50999999,0,0.31499999
4,1,12,7,8,1.85,5.315,5.31500001,99,0.315,1.84999999,0,0.31499999
4,1,12,8,9,1.91,5.315,5.31500001,99,0.315,1.90999999,0,0.31499999
4,1,12,9,12,0.52,5.315,5.31500001,99,0.315,0.51999999,0,0.31499999
4,1,12,12,14,0.38,5.315,5.31500001,99,0.315,0.37999999,0,0.31499999
4,1,12,14,24,0.315,5.315,5.31500001,99,0.315,0.315,0,0.31499999
5,1,12,0,6,0.4,5.4,5.40000001,99,0.4,0.4,0,0.39999999
5,1,12,6,8,0.45,5.4,5.40000001,99,0.4,0.44999999,0,0.39999999
5,1,12,8,9,0.98,5.4,5.40000001,99,0.4,0.97999999,0,0.39999999
5,1,12,9,12,0.82,5.4,5.40000001,99,0.4,0.81999999,0,0.39999999
5,1,12,12,14,0.5,5.4,5.40000001,99,0.4,0.49999999,0,0.39999999
5,1,12,14,17,0.4,5.4,5.40000001,99,0.4,0.4,0,0.39999999
5,1,12,17,24,0.4,5.4,5.40000001,99,0.4,0.4,0,0.39999999
6,1,12,0,6,0.34,5.34,5.34000001,99,0.34,0.34,0,0.33999999
6,1,12,6,8,0.35,5.34,5.34000001,99,0.34,0.34999999,0,0.33999999
6,1,12,8,9,0.48,5.34,5.34000001,99,0.34,0.47999999,0,0.33999999
6,1,12,9,11,0.34,5.34,5.34000001,99,0.34,0.34,0,0.33999999
6,1,12,11,24,0.34,5.34,5.34000001,99,0.34,0.34,0,0.33999999
7,1,12,0,5,0.26,5.22,5.22000001,99,0.22,0.25999999,0,0.21999999
7,1,12,5,7,0.33,5.22,5.22000001,99,0.22,0.32999999,0,0.21999999
7,1,12,7,8,0.45,5.22,5.22000001,99,0.22,0.44999999,0,0.21999999
7,1,12,8,9,0.47,5.22,5.22000001,99,0.22,0.46999999,0,0.21999999
7,1,12,9,12,0.27,5.22,5.22000001,99,0.22,0.26999999,0,0.21999999
7,1,12,12,24,0.24,5.22,5.22000001,99,0.22,0.23999999,0,0.21999999
8,1,12,0,5,0.395,5.395,5.39500001,99,0.395,0.395,0,0.39499999
8,1,12,5,7,0.42,5.395,5.39500001,99,0.395,0.41999999,0,0.39499999
8,1,12,7,8,0.84,5.395,5.39500001,99,0.395,0.83999999,0,0.39499999
8,1,12,8,9,0.91,5.395,5.39500001,99,0.395,0.90999999,0,0.39499999
8,1,12,9,12,0.43,5.395,5.39500001,99,0.395,0.42999999,0,0.39499999
8,1,12,12,24,0.395,5.395,5.39500001,99,0.395,0.395,0,0.39499999
9,1,12,0,6,0.42,5.368,5.36800001,99,0.368,0.41999999,0,0.36799999
9,1,12,6,7,0.5,5.368,5.36800001,99,0.368,0.49999999,0,0.36799999
9,1,12,7,8,0.71,5.368,5.36800001,99,0.368,0.70999999,0,0.36799999
9,1,12,8,9,0.92,5.368,5.36800001,99,0.368,0.91999999,0,0.36799999
9,1,12,9,11,0.44,5.368,5.36800001,99,0.368,0.43999999,0,0.36799999
9,1,12,11,24,0.39,5.368,5.36800001,99,0.368,0.38999999,0,0.36799999
10,1,12,0,3,0.185,5.185,5.18500001,99,0.185,0.185,0,0.18499999
10,1,12,3,5,0.21,5.185,5.18500001,99,0.185,0.20999999,0,0.18499999
10,1,12,5,7,0.31,5.185,5.18500001,99,0.185,0.30999999,0,0.18499999
10,1,12,7,9,0.48,5.185,5.18500001,99,0.185,0.47999999,0,0.18499999
10,1,12,9,16,0.19,5.185,5.18500001,99,0.185,0.18999999,0,0.18499999
10,1,12,16,24,0.185,5.185,5.18500001,99,0.185,0.185,0,0.18499999
11,1,12,0,4,0.32,5.3,5.30000001,99,0.3,0.31999999,0,0.29999999
11,1,12,4,7,0.39,5.3,5.30000001,99,0.3,0.38999999,0,0.29999999
11,1,12,7,9,0.65,5.3,5.30000001,99,0.3,0.64999999,0,0.29999999
11,1,12,9,12,0.34,5.3,5.30000001,99,0.3,0.33999999,0,0.29999999
11,1,12,12,24,0.31,5.3,5.30000001,99,0.3,0.30999999,0,0.29999999
12,1,12,0,4,0.28,5.28,5.28000001,99,0.28,0.28,0,0.27999999
12,1,12,4,5,0.29,5.28,5.28000001,99,0.28,0.28999999,0,0.27999999
12,1,12,5,6,0.45,5.28,5.28000001,99,0.28,0.44999999,0,0.27999999
12,1,12,6,8,0.64,5.28,5.28000001,99,0.28,0.63999999,0,0.27999999
12,1,12,8,10,0.69,5.28,5.28000001,99,0.28,0.68999999,0,0.27999999
12,1,12,10,13,0.59,5.28,5.28000001,99,0.28,0.58999999,0,0.27999999
12,1,12,13,14,0.39,5.28,5.28000001,99,0.28,0.38999999,0,0.27999999
12,1,12,14,16,0.28,5.28,5.28000001,99,0.28,0.27999999,0,0.27999999
12,1,12,16,24,0.28,5.28,5.28000001,99,0.28,0.28,0,0.27999999
13,1,12,0,4,0.38,5.38,5.38000001,99,0.38,0.38,0,0.37999999
13,1,12,4,6,0.38,5.38,5.38000001,99,0.38,0.37999999,0,0.37999999
13,1,12,6,8,0.62,5.38,5.38000001,99,0.38,0.61999999,0,0.37999999
13,1,12,8,9,0.69,5.38,5.38000001,99,0.38,0.68999999,0,0.37999999
13,1,12,9,14,0.41,5.38,5.38000001,99,0.38,0.40999999,0,0.37999999
13,1,12,14,16,0.38,5.38,5.38000001,99,0.38,0.38,0,0.37999999
13,1,12,16,24,0.38,5.38,5.38000001,99,0.38,0.38,0,0.37999999
14,1,12,0,4,0.95,5.39,5.39000001,99,0.39,0.94999999,0,0.38999999
14,1,12,4,6,1.21,5.39,5.39000001,99,0.39,1.20999999,0,0.38999999
14,1,12,6,7,1.72,5.39,5.39000001,99,0.39,1.71999999,0,0.38999999
14,1,12,7,8,1.71,5.39,5.39000001,99,0.39,1.70999999,0,0.38999999
14,1,12,8,16,0.89,5.39,5.39000001,99,0.39,0.88999999,0,0.38999999
14,1,12,16,18,0.85,5.39,5.39000001,99,0.39,0.84999999,0,0.38999999
14,1,12,18,24,0.85,5.39,5.39000001,99,0.39,0.84999999,0,0.38999999
15,1,12,0,5,0.65,5.311,5.31100001,99,0.311,0.64999999,0,0.31099999
15,1,12,5,6,0.86,5.311,5.31100001,99,0.311,0.85999999,0,0.31099999
15,1,12,6,7,0.81,5.311,5.31100001,99,0.311,0.80999999,0,0.31099999
15,1,12,7,12,0.56,5.311,5.31100001,99,0.311,0.55999999,0,0.31099999
15,1,12,12,16,0.52,5.311,5.31100001,99,0.311,0.51999999,0,0.31099999
15,1,12,16,24,0.61,5.311,5.31100001,99,0.311,0.60999999,0,0.31099999
16,1,12,0,4,0.34,5.34,5.34000001,99,0.34,0.34,0,0.33999999
16,1,12,4,5,0.36,5.34,5.34000001,99,0.34,0.35999999,0,0.33999999
16,1,12,5,7,0.41,5.34,5.34000001,99,0.34,0.40999999,0,0.33999999
16,1,12,7,9,0.71,5.34,5.34000001,99,0.34,0.70999999,0,0.33999999
16,1,12,9,12,0.36,5.34,5.34000001,99,0.34,0.35999999,0,0.33999999
16,1,12,12,24,0.34,5.34,5.34000001,99,0.34,0.34,0,0.33999999
17,1,12,0,2,0.37,5.23,5.23000001,99,0.23,0.36999999,0,0.22999999
17,1,12,2,4,0.41,5.23,5.23000001,99,0.23,0.40999999,0,0.22999999
17,1,12,4,5,0.52,5.23,5.23000001,99,0.23,0.51999999,0,0.22999999
17,1,12,5,7,0.63,5.23,5.23000001,99,0.23,0.62999999,0,0.22999999
17,1,12,7,8,1.07,5.23,5.23000001,99,0.23,1.06999999,0,0.22999999
17,1,12,8,9,1.06,5.23,5.23000001,99,0.23,1.05999999,0,0.22999999
17,1,12,9,12,0.55,5.23,5.23000001,99,0.23,0.54999999,0,0.22999999
17,1,12,12,15,0.37,5.23,5.23000001,99,0.23,0.36999999,0,0.22999999
17,1,12,15,24,0.35,5.23,5.23000001,99,0.23,0.34999999,0,0.22999999
18,1,12,0,4,0.32,5.22,5.22000001,99,0.22,0.31999999,0,0.21999999
18,1,12,4,6,0.49,5.22,5.22000001,99,0.22,0.48999999,0,0.21999999
18,1,12,6,7,0.79,5.22,5.22000001,99,0.22,0.78999999,0,0.21999999
18,1,12,7,8,0.87,5.22,5.22000001,99,0.22,0.86999999,0,0.21999999
